695700320093777245503;8191404772074031;Visa;11/31;Frozen
695700320093777245503;8191102771458920;Union Pay;01/33;Frozen
695700320093777245503;4881243720863804;Union Pay;10/31;Active
695700320061086061331;345337282383462;МИР;12/33;Active
695700320061086061331;4086480388773734;Mastercard;05/26;Frozen
695700320061086061331;6620078043441065;Visa;08/29;Active
372350035599643657592;8111507841586616;American Express;11/29;Frozen
372350035599643657592;6203498181320548;Union Pay;03/24;Frozen
372350035599643657592;4076317391073052;American Express;11/31;Frozen
372350035579552867294;4917934828328322;Visa;09/24;Frozen
372350035535907870753;342345867649010;Union Pay;10/32;Frozen
372350035535907870753;379505489973751;Visa;08/29;Active
528745814142295829286;6222589220796768;Maestro;10/24;Frozen
528745814142295829286;5274620852234973;Maestro;01/28;Active
528745814142295829286;378055322135110;American Express;11/26;Frozen
528745814142295829286;2200015574768307;Maestro;01/26;Frozen
528745814142295829286;373281952154305;МИР;04/33;Active
528745814141374680397;8101244687631619;Maestro;08/30;Active
528745814141374680397;6286771544927286;Maestro;05/34;Active
528745814141374680397;2224215214206203;Union Pay;04/32;Active
528745814141374680397;6295025099403600;МИР;06/31;Frozen
528745814141374680397;5455128001429503;МИР;10/28;Active
528745814163067902557;4896446648819641;Visa;04/26;Frozen
528745814163067902557;347435668507239;Mastercard;07/29;Frozen
528745814163067902557;371814626392182;American Express;08/26;Active
528745814163067902557;6225367761315539;American Express;03/33;Active
528745814163067902557;2203392271950364;Mastercard;04/30;Active
528745814111260233540;371484846396205;Mastercard;05/34;Frozen
528745814111260233540;5350654757790224;МИР;06/28;Active
528745814111260233540;8115640240288421;Union Pay;10/31;Frozen
528745814111260233540;6143737931254454;Maestro;01/34;Active
528745814111260233540;6739956238228066;American Express;05/32;Frozen
528745814132540598191;4207247612889089;American Express;05/34;Frozen
528745814132540598191;379182020404512;Visa;01/34;Frozen
528745814132540598191;2201271230978389;Visa;09/34;Active
528745814132540598191;2202468147617899;Visa;12/25;Active
528745814112001908411;373837595454038;American Express;07/27;Frozen
528745814112001908411;2201386286464975;Mastercard;12/30;Active
528745814112001908411;2204904408909565;American Express;07/28;Active
528745814112001908411;2244754259123382;Maestro;02/26;Frozen
528745814139056407466;379062532994632;Visa;07/33;Active
528745814139056407466;4461027371028009;Union Pay;03/29;Frozen
528745814139056407466;2204212182969304;Maestro;06/25;Frozen
528745814139056407466;378066587970364;American Express;06/31;Active
409425504099359836192;4162965761369875;Maestro;06/27;Frozen
409425504099359836192;2275500925502745;Maestro;06/30;Active
409425504027651360741;375836881735124;МИР;04/26;Frozen
409425504021263118277;2204678525582824;МИР;06/34;Active
409425504021263118277;4178396011556016;American Express;12/30;Frozen
409425504021263118277;4574095716992985;American Express;01/30;Active
409425504021263118277;5634791721360482;Maestro;11/28;Frozen
409425504021263118277;4820203389047341;МИР;02/28;Active
409425504015751786794;373706785149783;Maestro;10/28;Frozen
409425504036854363931;343057173604584;Mastercard;10/27;Frozen
409425504036854363931;6274808961124825;Maestro;08/31;Frozen
409425504036854363931;2202985464277916;Maestro;03/29;Frozen
409425504036854363931;8146773249862897;Union Pay;10/34;Active
409425504067374421823;371869815846711;МИР;07/34;Active
409425504067374421823;5782063421787459;Union Pay;10/26;Active
409425504067374421823;2202485814795741;Visa;11/33;Active
409425504067374421823;2271120443160431;Union Pay;10/30;Active
409425504067374421823;8135174812283277;Union Pay;01/33;Frozen
409425504020990329762;8112562223982189;Visa;08/33;Active
409425504020990329762;4362388989161305;Maestro;09/25;Frozen
409425504020990329762;6871333500335342;Mastercard;08/29;Frozen
409425504020990329762;6299759032263384;American Express;02/27;Frozen
409425504020990329762;2204519095590310;Visa;06/31;Active
409425504020252677846;2203337729468154;МИР;11/25;Active
409425504020252677846;376135684032261;МИР;07/34;Frozen
409425504020252677846;5686410482548279;Mastercard;03/32;Frozen
409425504020252677846;349542017013773;American Express;12/31;Frozen
409425504020252677846;371175476969598;American Express;10/32;Frozen
374823166983344034505;2247862891850861;Union Pay;07/32;Frozen
374823166983344034505;8153778737057504;Visa;10/28;Frozen
374823166983344034505;8156485617259468;Visa;01/29;Frozen
374823166983344034505;2201898374795979;Union Pay;07/33;Active
374823166968084164657;2429661048798068;Mastercard;04/26;Active
374823166968084164657;6122357878951759;Visa;03/25;Frozen
374823166968084164657;6082287163992572;Maestro;05/31;Active
374823166968084164657;6208445166762967;Maestro;04/34;Active
374823166998927507312;2202388692855084;Maestro;10/33;Frozen
374823166998927507312;2200119915444212;Union Pay;09/27;Active
374823166922160113572;4304137659269190;Maestro;12/31;Frozen
374823166922160113572;8174664787242342;Maestro;08/32;Frozen
374823166922160113572;4663607788712711;Maestro;10/34;Active
374823166922160113572;4924811187212464;Visa;01/31;Frozen
374823166999588729571;2290178339033424;American Express;11/26;Frozen
374823166999588729571;2271348879316629;Visa;05/31;Frozen
374823166999588729571;379335215077127;Visa;01/29;Frozen
969232613638600734883;2202890531144356;Visa;08/30;Active
969232613638600734883;8129380694757704;American Express;06/27;Frozen
969232613638600734883;8182433470817335;Mastercard;06/34;Frozen
969232613638600734883;4905571292663422;Visa;03/29;Frozen
969232613638600734883;6216690822290453;Mastercard;08/33;Frozen
969232613664245363923;2263745858975764;Maestro;09/29;Frozen
969232613664245363923;6232004346180978;МИР;12/33;Active
969232613664245363923;2262628798941602;Union Pay;10/33;Active
288121379741551993904;6241706019837184;Union Pay;12/31;Frozen
288121379741551993904;2200525107613820;Visa;04/27;Active
288121379741551993904;2202402915909717;МИР;01/25;Active
288121379741551993904;8122400234775953;Union Pay;10/32;Frozen
288121379799334998892;2202143668315112;Maestro;02/30;Active
288121379799334998892;2202160509691790;Mastercard;04/25;Frozen
288121379799334998892;6285906694444358;Union Pay;05/30;Frozen
288121379799334998892;4861924985529990;Maestro;02/30;Active
288121379799334998892;2386753658498062;Maestro;05/25;Frozen
288121379710431469246;6391949961526417;American Express;10/30;Active
288121379710431469246;8185989773214592;Mastercard;11/31;Frozen
288121379710431469246;375185433268915;Maestro;02/33;Active
288121379710431469246;4201331850134683;МИР;01/31;Active
288121379710431469246;372363450239084;Visa;04/29;Active
254836837489809036799;2200661747414376;Mastercard;01/32;Frozen
254836837489809036799;2707711888624354;American Express;03/33;Active
254836837489809036799;8186566987119988;Mastercard;06/34;Frozen
254836837471098718855;5355254605746521;Visa;05/30;Active
254836837471098718855;2202795795531141;МИР;12/32;Frozen
254836837471098718855;5957171063694963;Maestro;02/27;Frozen
254836837471098718855;4970922010475781;Union Pay;03/26;Active
254836837420319838213;2499757738797082;American Express;04/28;Frozen
254836837495009462058;4669609385985488;Maestro;07/27;Active
254836837495009462058;2233589375865679;Maestro;11/25;Active
254836837495009462058;342657273731970;Union Pay;07/28;Active
254836837495009462058;4999619914272176;Maestro;12/33;Frozen
254836837489015875707;8163229828318056;Visa;12/31;Frozen
254836837489015875707;4796223290421245;American Express;04/26;Frozen
254836837489015875707;377490302831167;American Express;03/33;Active
216253280682677679307;2201835047092392;Union Pay;11/24;Frozen
216253280682677679307;6960583495679797;American Express;05/34;Active
216253280682677679307;371275924174658;Visa;07/25;Active
216253280682677679307;340543147503054;Visa;12/33;Frozen
216253280682677679307;2203531347031036;Mastercard;02/29;Frozen
216253280619107541581;2202837822076326;Mastercard;01/29;Frozen
216253280619107541581;8180202983231553;МИР;02/25;Frozen
216253280619107541581;5736263267417602;Visa;10/31;Active
216253280619107541581;6471717633092461;American Express;06/33;Frozen
216253280619107541581;347662514015063;Union Pay;05/26;Active
216253280648524552825;6813272213662140;American Express;08/30;Frozen
216253280631361147058;6688050983525891;Union Pay;10/29;Frozen
216253280631361147058;371811587518060;American Express;02/26;Active
216253280631361147058;5246746883698186;Visa;12/30;Frozen
216253280648791059129;5029339975413947;American Express;12/32;Active
216253280648791059129;4770726653931881;American Express;09/24;Frozen
216253280686579106332;2255790913523134;МИР;11/24;Frozen
216253280686579106332;4295669389598945;Union Pay;07/28;Frozen
216253280616374000124;4628368145878778;Mastercard;09/28;Frozen
976748515467243546329;8140676553366049;Union Pay;11/27;Active
976748515467243546329;4268670383423182;Maestro;12/29;Active
976748515467243546329;4156350808754322;МИР;12/29;Active
